customer_id,row_index,full_name,age,gender,city,education,employment_status,annual_income_try,credit_score,tenure_months,monthly_spend_try,support_calls_90d,contract_type,payment_method,signup_date,last_login_days_ago,marketing_consent,device_type,churn
CUS-101483,1484,Merve Aydın,49,Female,Antalya,Lise,Tam Zamanlı,78122,,23,694,2,aylik,EFT,2021-12-04,6,1,web ,0
CUS-100502,503,Merve Öz,47,Belirtmek istemiyor,ISTANBUL,lise,Self-employed,44163,556,89,1518,0,aylik,Kredi Kartı,2019-12-20,3,1,Android,0
CUS-100895,896,Ayşe Çelik,30,KADIN,Bursa,lise,İşsiz,14962,831,,1024,2,Aylık,Banka Havalesi,2024-08-08,14,hayir,web ,0
CUS-102124,2125,Can Koç,44,KADIN,Konya,Ön Lisans,İşsiz,,541,107,2249,2,2 Yıllık,kredi karti,2017-12-24,3,No,Unknown,0
CUS-101827,1828,Zeynep Şahin,24,kadın,Izmir,Doktora,Serbest,29996,784,75,1167,2,Aylık,PayPal,2018-01-21,21,EVET,Unknown,0
CUS-100945,946,Can Arslan,35,Male,Konya,Ön Lisans,İşsiz,61363,643,39,1795,0,2 Yıllık,Banka Havalesi,2021-10-19,6,1,IOS,0
CUS-101783,1784,Ayşe Kaya,28,Male,İzmir,Yüksek Lisans,Self-employed,97990,657,49,1696,0,12 ay,Nakit,2019-06-03,3,1,android,0
CUS-101992,1993,Burak Şahin,54,Belirtmek istemiyor,ankara ,Ön Lisans,Emekli,55094,,60,1016,1,24 AY,PayPal,2019-11-19,,1,android,0
CUS-100222,223,Ali Öz,36,kadın,Adana,Bilinmiyor,Tam Zamanlı,43263,,95,1842,3,12 ay,kredi karti,2019-02-12,4,0,iOS,0
CUS-101328,1329,Ayşe Demir,22,Erkek,ISTANBUL,,tam zamanli,20531,744,79,2368,4,Taahhütsüz,otomatik odeme,2018-08-13,10,1,android,0
CUS-100136,137,Mehmet Yılmaz,39,Female,Konya,Bilinmiyor,tam zamanli,,,1,1264,1,1 Yıllık,,2017-03-24,2,,iOS,0
CUS-101459,1460,Elif Şahin,43,erkek,istanbul,Bilinmiyor,Tam Zamanlı,122725,790,90,763,4,2 Yıllık,PayPal,2022-10-16,11,hayir,IOS,0
CUS-102148,2149,Zeynep Şahin,32,erkek,Unknown,Bilinmiyor,Emekli,108166,639,17,,1,12 ay,kredi karti,2019-02-20,4,Yes,iOS,0
CUS-101596,1597,Emre Çelik,44,Male,İstanbul,Ön Lisans,Serbest,22563,798,120,1556,2,12 ay,EFT,2019-04-05,7,Hayır,Web,0
CUS-101850,1851,Merve Kurt,27,Erkek,ankara ,lisans ,Emekli,45599,592,25,2026,1,Taahhütsüz,Otomatik Ödeme,2017-07-09,3,Evet,Web,0
CUS-100020,21,Emre Arslan,38,Kadın,Adana,Lise,Yarı Zamanlı,27044,478,12,1666,1,24 AY,Banka Havalesi,2023-05-04,3,,Android,0
CUS-100542,543,Can Aydın,26,Male,Ankara,Bilinmiyor,Yarı Zamanlı,65060,614,,1445,0,2 Yıllık,Nakit,2020-08-13,11,1,iOS,0
CUS-101056,1057,Emre Öz,63,erkek,ISTANBUL,lisans ,Tam Zamanlı,40746,511,13,975,1,Taahhütsüz,EFT,2025-02-10,12,0,Unknown,0
CUS-101504,1505,Emre Arslan,17,Belirtmek istemiyor,İzmir,Bilinmiyor,Emekli,25680,688,55,2854,3,,Otomatik Ödeme,2025-06-14,4,No,Web,0
CUS-100936,937,Mehmet Yılmaz,28,Belirtmek istemiyor,antalya,lisans ,Yarı Zamanlı,39825,722,104,2224,0,,Kredi Kartı,2018-04-06,6,Hayır,,0
CUS-100652,653,Derya Arslan,55,Kadın,ISTANBUL,Ön Lisans,Serbest,56438,-120,109,2272,0,24 AY,Banka Havalesi,2020-09-10,11,hayir,Web,0
CUS-100163,164,Burak Yılmaz,27,Female,Unknown,Doktora,Self-employed,57065,50,64,1352,3,1 Yıllık,Kredi Kartı,2022-08-08,5,0,Web,0
CUS-101702,1703,Zeynep Yılmaz,45,Diğer,İstanbul,Lise,Part-time,34098,499,34,1455,1,1 Yıllık,kredi karti,2022-11-23,23,1,,0
CUS-100713,714,Zeynep Aydın,25,kadın,Ankara,Y. Lisans,Tam Zamanlı,36171,648,76,698,0,2 Yıllık,Kredi Kartı,2024-07-06,11,EVET,Android,0
CUS-101429,1430,Ali Aydın,25,erkek,Gaziantep,Lise,,39782,662,79,1551,0,24 AY,Banka Havalesi,2018-04-25,4,EVET,Android,0
CUS-100569,570,Ayşe Şahin,38,Belirtmek istemiyor,ISTANBUL,Lise,Part-time,89196,,25,480,3,Aylık,Otomatik Ödeme,2017-09-15,2,No,Android,0
CUS-100818,819,Zeynep Şahin,45,Male,Izmir,Y. Lisans,Serbest,29937,347,73,1438,0,aylik,otomatik odeme,2017-07-11,7,1,Android,1
CUS-101370,1371,Ali Kaya,50,Male,Bursa,lise,Emekli,1451700,586,48,2467,3,,,2021-06-20,4,No,web ,0
CUS-100193,194,Elif Arslan,30,Female,istanbul,Lisans,İşsiz,35338,555,37,993,0,1 Yıllık,EFT,2024-06-27,2,Evet,iOS,0
CUS-100411,412,Ayşe Çelik,45,KADIN,istanbul,Bilinmiyor,Part-time,974130,678,77,1298,2,12 ay,otomatik odeme,2017-01-13,7,Yes,Unknown,0
CUS-102128,2129,Can Aydın,31,,İstanbul,Ön Lisans,tam zamanli,26564,616,64,2429,0,24 AY,Nakit,2017-09-01,5,1,Unknown,0
CUS-100552,553,Ayşe Kurt,29,Erkek,Konya,Ön Lisans,Öğrenci,48460,465,13,1387,1,Aylık,,2024-08-12,17,Yes,Android,0
CUS-101280,1281,Elif Şahin,19,erkek,istanbul,Bilinmiyor,Part-time,81136,724,87,1503,3,Aylık,Otomatik Ödeme,2022-04-14,3,No,IOS,1
CUS-101496,1497,Derya Öz,57,kadın,antalya,Ön Lisans,Part-time,72002,506,106,,3,2 Yıllık,PayPal,2018-01-02,14,1,Web,0
CUS-100165,166,Elif Koç,32,Erkek,BURSA,lise,Serbest,23283,640,85,1337,0,24 AY,Nakit,2020-12-20,2,1,IOS,0
CUS-100263,264,Elif Demir,50,Erkek,Gaziantep,lisans ,Yarı Zamanlı,61037,700,68,1468,1,aylik,kredi karti,2020-07-08,8,hayir,web ,0
CUS-100952,953,Zeynep Arslan,39,Male,Ankara,Yüksek Lisans,,92751,555,45,,4,Taahhütsüz,EFT,2020-04-24,11,Hayır,Unknown,0
CUS-102118,2119,Zeynep Yılmaz,52,KADIN,Bursa,Ön Lisans,,13937,665,102,1580,2,2 Yıllık,Banka Havalesi,2018-01-02,6,0,android,0
CUS-101939,1940,Ayşe Koç,27,Belirtmek istemiyor,Konya,Ön Lisans,Emekli,31426,786,6,2461,3,1 Yıllık,,2017-09-18,9,Evet,IOS,0
CUS-101888,1889,Derya Öz,31,kadın,Antalya,Y. Lisans,Emekli,29830,599,83,796,3,Taahhütsüz,Nakit,2023-07-01,3,Evet,IOS,0
CUS-101277,1278,Zeynep Yılmaz,20,Male,İzmir,Lisans,Öğrenci,20473,514,23,1408,1,,EFT,2025-09-08,16,1,iOS,0
CUS-100129,130,Merve Arslan,62,KADIN,Bursa,Bilinmiyor,Part-time,33105,730,80,1449,,Aylık,Banka Havalesi,2024-03-18,11,No,web ,0
CUS-100788,789,Can Kaya,54,Erkek,BURSA,Yüksek Lisans,İşsiz,,522,96,1826,78,12 ay,Nakit,2022-12-24,6,0,iOS,1
CUS-101736,1737,Elif Öz,46,kadın,İstanbul,Lise,Tam Zamanlı,36533,689,87,1861,3,1 Yıllık,Banka Havalesi,2017-02-11,8,,Unknown,0
CUS-101786,1787,Ayşe Şahin,68,kadın,İzmir,Doktora,Öğrenci,93851,603,56,1950,3,12 ay,PayPal,2023-09-16,5,,Web,0
CUS-100615,616,Ayşe Arslan,37,Male,ankara ,Yüksek Lisans,Self-employed,38658,608,82,1023,1,24 AY,Kredi Kartı,2022-02-28,4,No,Android,0
CUS-101715,1716,Zeynep Kurt,55,erkek,Bursa,Bilinmiyor,Self-employed,16446,725,94,2054,,12 ay,Otomatik Ödeme,2023-10-07,3,1,Tablet,0
CUS-100586,587,Merve Arslan,57,kadın,Gaziantep,Lisans,Part-time,20421,528,31,1728,1,Taahhütsüz,Banka Havalesi,2021-12-25,3,0,web ,0
CUS-100398,399,Merve Şahin,57,Kadın,İzmir,Yüksek Lisans,İşsiz,49090,632,,1746,2,12 ay,otomatik odeme,2023-12-12,3,1,Android,0
CUS-100291,292,Emre Kurt,32,Diğer,ankara ,,Emekli,24339,561,60,2402,2,24 AY,otomatik odeme,26/03/2017,1,,Unknown,0
CUS-100671,672,Derya Arslan,18,,İzmir,Yüksek Lisans,tam zamanli,,594,117,1540,0,24 AY,Banka Havalesi,2025-08-04,6,hayir,Android,0
CUS-101831,1832,Elif Öz,49,Diğer,ISTANBUL,Doktora,Yarı Zamanlı,51340,594,10,1783,2,aylik,Banka Havalesi,2020-01-02,9,Evet,android,0
CUS-100827,828,Elif Çelik,29,Diğer,Ankara,Lise,,30561,,,569,3,,Nakit,2021-11-09,14,No,Unknown,0
CUS-100492,493,Ali Çelik,,Belirtmek istemiyor,Antalya,Y. Lisans,Part-time,65328,540,6,310,1,12 ay,otomatik odeme,2025-04-25,4,No,IOS,0
CUS-101387,1388,Elif Yılmaz,35,Female,Gaziantep,Lisans,Tam Zamanlı,53652,578,,1931,0,2 Yıllık,otomatik odeme,2018-04-15,4,EVET,web ,0
CUS-100685,686,Burak Öz,48,Belirtmek istemiyor,,Yüksek Lisans,tam zamanli,,562,43,792,5,Aylık,PayPal,2021-12-27,3,Yes,Unknown,0
CUS-100541,542,Can Yılmaz,24,KADIN,Antalya,,Part-time,62370,671,52,1105,2,2 Yıllık,Nakit,2017-11-25,5,EVET,iOS,0
CUS-100055,56,Zeynep Koç,12,Male,Gaziantep,Lisans,Serbest,13052,715,66,728,1,12 ay,EFT,2022-09-10,8,No,web ,0
CUS-101537,1538,Elif Çelik,39,Erkek,,Doktora,Yarı Zamanlı,60788,581,62,1107,1,1 Yıllık,Kredi Kartı,2018-09-15,20,EVET,IOS,0
CUS-101728,1729,Burak Kurt,25,kadın,ISTANBUL,Y. Lisans,Emekli,34038,631,70,953,0,24 AY,kredi karti,2025-01-14,1,EVET,IOS,0
CUS-101202,1203,Zeynep Koç,33,Erkek,ankara ,Lisans,tam zamanli,57576,814,27,2113,2,aylik,otomatik odeme,,2,1,web ,0
CUS-100379,380,Merve Arslan,28,Belirtmek istemiyor,BURSA,lise,Yarı Zamanlı,62132,741,23,761,4,aylik,Nakit,2024-05-09,6,Evet,Android,1
CUS-101032,1033,Merve Öz,40,Female,ankara ,Y. Lisans,İşsiz,43758,490,60,1537,1,12 ay,Banka Havalesi,2022-02-10,2,hayir,android,0
CUS-101347,1348,Ali Çelik,35,Diğer,Konya,Ön Lisans,tam zamanli,49724,635,37,,0,1 Yıllık,EFT,2022-04-09,5,1,Android,0
CUS-101733,1734,Elif Arslan,36,Belirtmek istemiyor,istanbul,Ön Lisans,Öğrenci,37953,592,21,1108,1,1 Yıllık,Nakit,2023-10-07,21,Hayır,Unknown,0
CUS-100091,92,Merve Demir,,Kadın,Izmir,Y. Lisans,İşsiz,24115,513,11,1335,4,,PayPal,2017-06-10,7,hayir,Tablet,0
